код;;ПРАЙС 01.10.2020;Количество;Гарантия;"Рекомендуемая
 розничная
 цена";Цена!
53129;;MB ASUS PRIME A320M-K Soc-AM4 (A320) PCI-E Dsub+HDMI GbLAN SATA RAID mATX 2DDR4 RTL;;24;;49,1
62706;;MB ASUS PRIME A320M-R-SI Soc-AM4 (A320) PCI-E Dsub+HDMI GbLAN SATA RAID mATX 2DDR4 RTL;;24;;46
70734;;MB ASUS PRIME A520M-A Soc-AM4 (A520) 1xPCI-E 3.0x16 2xPCI-E 3.0x1 1xM.2 ATX 4xDDR4 4800Mhz VGA+DVI-D+HDMI mATX RTL;;24;;80,8
70735;;MB ASUS PRIME A520M-E Soc-AM4 (A520) 1xPCI-E 3.0x16 2xPCI-E 3.0x1 1xM.2 ATX 2xDDR4 4600Mhz VGA+DVI-D+HDMI mATX RTL;;24;;76,7
70736;;MB ASUS PRIME A520M-K Soc-AM4 (A520) 1xPCI-E 3.0x16 2xPCI-E 3.0x1 1xM.2 ATX 2xDDR4 4600Mhz VGA+HDMI mATX RTL;;24;;73,5
53862;;MB ASUS PRIME B350M-E Soc-AM4 (B350) PCI-E Dsub+DVI+HDMI GbLAN SATA RAID MicroATX 2DDR4 RTL;;24;;67,5
62375;;MB ASUS PRIME B450-PLUS Soc-AM4 (B450) 2xPCI-E DVI+HDMI GbLAN SATA RAID ATX 4DDR4 RTL;;24;;92
62389;;MB ASUS PRIME B450M-A Soc-AM4 (B450) PCI-E Dsub+DVI+HDMI GbLAN SATA MicroATX 4DDR4 RTL;;24;;68,8
62377;;MB ASUS PRIME B450M-K Soc-AM4 (B450) PCI-E Dsub+DVI GbLAN SATA RAID MicroATX 2DDR4 RTL;;24;;58
70076;;MB ASUS PRIME B550-PLUS Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 3xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DP+HDMI ATX RTL;;24;;143
70383;;MB ASUS PRIME B550M-A Soc-AM4 (B550) PCI-E Dsub+DVI+HDMI GbLAN SATA MicroATX 4DDR4 RTL;;24;;112,5
70384;;MB ASUS PRIME B550M-K Soc-AM4 (B550) PCI-E Dsub+DVI+HDMI GbLAN SATA MicroATX 4DDR4 RTL;;24;;105
65898;;MB ASUS PRIME X570-P Soc-AM4 (X570) GbLAN PCIe 4.0,Dual M.2,HDMI, USB 3.2 Gen 2, Aura Sync RGB header, ATX 4DDR4 RTL;;24;;167
65895;;MB ASUS PRIME X570-PRO Soc-AM4 (X570) GbLAN PCIe 4.0,Dual M.2 with heatsinks,HDMI, DP, USB 3.2 Gen 2, Aura Sync RGB lighting, ATX 4DDR4 RTL;;24;;263,2
66036;;MB ASUS ROG CROSSHAIR VIII HERO Soc-AM4 (X570)  GbLAN RAID SATA ATX 4DDR4 RTL;;24;;407
64355;;MB ASUS ROG STRIX B450-E GAMING Soc-AM4 (B450) 3xPCI-E HDMI+DP GbLAN SATA RAID ATX 4DDR4 RTL;;24;;174
62492;;MB ASUS ROG STRIX B450-F GAMING Soc-AM4 (B450) 3xPCI-E HDMI+DP GbLAN SATA RAID ATX 4DDR4 RTL;;24;;125
70080;;MB ASUS ROG STRIX B550-E GAMING Soc-AM4 (B550) 2xPCI-E 4.0x16 1xPCI-E 3.0x16 2xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DP+HDMI RGB ATX RTL;;24;;239
70081;;MB ASUS ROG STRIX B550-F GAMING Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 2xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DP+HDMI RGB ATX RTL;;24;;182
70246;;MB ASUS ROG STRIX X570-E GAMING Soc-AM4 (X570) GbLAN, PCIe 4.0,Dual M.2 with heatsinks,HDMI, DP, USB 3.2 Gen 2, Aura Sync RGB lighting, ATX 4DDR4 RTL;;24;;302
65894;;MB ASUS ROG STRIX X570-F GAMING Soc-AM4 (X570) GbLAN, PCIe 4.0,Dual M.2 with heatsinks,HDMI, DP, USB 3.2 Gen 2, Aura Sync RGB lighting, ATX 4DDR4 RTL;;24;;276,4
62372;;MB ASUS TUF B450-PLUS GAMING Soc-AM4 (B450) PCI-E DVI+HDMI GbLAN SATA RAID ATX 4DDR4 RTL;;24;;95
63110;;MB ASUS TUF B450-PRO GAMING Soc-AM4 (B450) PCI-E DVI+HDMI GbLAN SATA RAID ATX 4DDR4 RTL;;24;;118
62378;;MB ASUS TUF B450M-PLUS GAMING Soc-AM4 (B450) PCI-E DVI+HDMI GbLAN SATA RAID MicroATX 4DDR4 RTL;;24;;83,5
63920;;MB ASUS TUF B450M-PRO GAMING Soc-AM4 (B450) PCI-E DVI+HDMI GbLAN SATA RAID MicroATX 4DDR4 RTL;;24;;96,5
70801;;MB ASUS TUF GAMING A520M-PLUS Soc-AM4 (A520) 1xPCI-E 3.0x16 2xPCI-Ex1 1xUltra M.2 4xDDR4 4800MHz+ VGA+DVI+HDMI mATX RTL;;24;;92
70602;;MB ASUS TUF GAMING B450M-PRO S Soc-AM4 (B450) PCI-E DVI+HDMI GbLAN SATA RAID MicroATX 4DDR4 RTL;;24;;112
70082;;MB ASUS TUF GAMING B550-PLUS Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 3xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DP+HDMI ATX RTL;;24;;148,5
70083;;MB ASUS TUF GAMING B550M-PLUS Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 1xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DP+HDMI mATX RTL;;24;;142,5
67026;;MB ASUS TUF GAMING X570-PLUS Soc-AM4 (X570) GbLAN PCIe 4.0,Dual M.2,HDMI, USB 3.2 Gen 2, Aura Sync RGB header, ATX 4DDR4 RTL;;24;;227,7
70946;;MB Gigabyte A520M DS3H Soc-AM4 (A520) 1xPCI-E 3.0x16 2xPCI-E 3.0x1 1xM.2 4xDDR4 4733Mhz DVI-D+HDMI+DP mATX RTL;;24;;79
70753;;MB Gigabyte A520M H Soc-AM4 (A520) 1xPCI-E 3.0x16 2xPCI-E 3.0x1 1xM.2 2xDDR4 5000Mhz DVI+HDMI mATX RTL;;24;;65
70913;;MB Gigabyte A520M S2H Soc-AM4 (A520) 1xPCI-E 3.0x16 1xPCI-E 3.0x1 1xM.2 2xDDR4 5000Mhz DVI-D+HDMI+VGA mATX RTL;;24;;65,5
62829;;MB Gigabyte B450 AORUS ELITE Soc-AM4 (B450) PCI-E DVI+HDMI GbLAN SATA RAID ATX 4DDR4 RTL;;24;;99
62499;;MB Gigabyte B450 AORUS M Soc-AM4 (B450) PCI-E DVI+HDMI GbLAN SATA RAID MicroATX 4DDR4 RTL;;24;;89,6
62500;;MB Gigabyte B450 AORUS PRO Soc-AM4 (B450) PCI-E DVI+HDMI GbLAN SATA RAID ATX 4DDR4 RTL;;24;;121,3
65496;;MB Gigabyte B450 GAMING X Soc-AM4 (B450)  HDMI DVI GbLAN SATA RAID  M.2 ATX 4DDR4 RTL;;24;;88
62063;;MB Gigabyte B450M DS3H Soc-AM4 (B450)  HDMI DVI GbLAN SATA RAID  M.2 mATX 4DDR4 RTL;;24;;85
64525;;MB Gigabyte B450M GAMING Soc-AM4 (B450)  HDMI DVI VGA GbLAN SATA RAID  M.2 mATX 2DDR4 RTL;;24;;78,9
69058;;MB Gigabyte B450M H Soc-AM4 (B450)  HDMI VGA GbLAN SATA RAID  M.2 mATX 2DDR4 RTL;;24;;59,5
63588;;MB Gigabyte B450M S2H Soc-AM4 (B450)  HDMI DVI VGA GbLAN SATA RAID  M.2 mATX 2DDR4 RTL;;24;;67,5
70492;;MB Gigabyte B550 AORUS ELITE Soc-AM4 (B550) 1xPCI-E 4.0x16 2xPCI-E 3.0x16 1xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DP+HDMI ATX RTL;;24;;160,5
70317;;MB Gigabyte B550 AORUS PRO Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 2xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ HDMI ATX RTL;;24;;199,5
70591;;MB Gigabyte B550 GAMING X Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 3xPCI-E 3.0x1 2xUltra M.2 4xDDR4 4733Mhz DVI-D+HDMI ATX RTL;;24;;147,2
70494;;MB Gigabyte B550M AORUS ELITE Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 1xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DVI-D+HDMI mATX RTL;;24;;112
70493;;MB Gigabyte B550M AORUS PRO Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 1xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DP+HDMI mATX RTL;;24;;123,5
70495;;MB Gigabyte B550M DS3H Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 1xPCI-Ex1 2xUltra M.2 4xDDR4 4600MHz+ DVI-D+HDMI mATX RTL;;24;;103,2
70643;;MB Gigabyte B550M H Soc-AM4 (B550) 1xPCI-E 4.0x16 2xPCI-Ex1 1xUltra M.2 2xDDR4 5000MHz+ VGA+HDMI mATX RTL;;24;;87,5
70488;;MB Gigabyte B550M S2H Soc-AM4 (B550) 1xPCI-E 4.0x16 2xPCI-Ex1 1xUltra M.2 2xDDR4 5000MHz+ VGA+DVI+HDMI mATX RTL;;24;;87
62929;;MB Gigabyte GA-A320M-H Soc-AM4 (A320) PCI-E DVI+HDMI GbLAN SATA RAID MicroATX 2DDR4 RTL;;24;;44,1
60650;;MB Gigabyte GA-A320M-S2H V2 Soc-AM4 (B350)  Dsub+DVI+HDMI GbLAN SATA RAID MicroATX 2DDR4 RTL;;24;;47
61135;;MB Gigabyte GA-AB350M-DS3H V2 Soc-AM4 (B350) PCI-E DVI+HDMI GbLAN SATA RAID MicroATX 4DDR4 RTL;;24;;55,7
65900;;MB Gigabyte X570 AORUS ELITE Soc-AM4 (X570) 4xDDR4 ATX AC`97 8ch(7.1) GbLAN RAID;;24;;204,9
65810;;MB Gigabyte X570 AORUS PRO Soc-AM4 (X570) 4xDDR4 ATX AC`97 8ch(7.1) GbLAN RAID;;24;;265
65899;;MB Gigabyte X570 GAMING X Soc-AM4 (X570) 4xDDR4 ATX AC`97 8ch(7.1) GbLAN RAID;;24;;174,9
66405;;MB Gigabyte X570 UD Soc-AM4 (X570) 4xDDR4 ATX AC`97 8ch(7.1) GbLAN RAID;;24;;144,5
71115;;MB MSI A520M PRO Soc-AM4 (A520) 1xPCI-Ex16 1xPCI-Ex1  1xUltra M.2 2xDDR4 4600Mhz DP+HDMI+VGA mATX RTL;;24;;71
71114;;MB MSI A520M-A PRO Soc-AM4 (A520) 1xPCI-Ex16 1xPCI-Ex1  1xUltra M.2 2xDDR4 4600Mhz DVI+HDMI mATX RTL;;24;;68
66493;;MB MSI B450 GAMING PLUS MAX Soc-AM4 (B450) 2xPCI-E Dsub+DVI+HDMI GbLAN SATA RAID ATX 4DDR4 RTL;;24;;108,5
66295;;MB MSI B450 TOMAHAWK MAX Soc-AM4 (B450) 2xPCI-E DVI+HDMI GbLAN SATA ATX 4DDR4 RTL;;24;;115
67016;;MB MSI B450-A PRO MAX Soc-AM4 (B450) 2xPCI-E Dsub+DVI+HDMI GbLAN SATA ATX 4DDR4 RTL;;24;;99
66518;;MB MSI B450M MORTAR MAX Soc-AM4 (B450) PCI-E DP+HDMI GbLAN SATA MicroATX 4DDR4 RTL;;24;;96,9
67015;;MB MSI B450M PRO-M2 MAX Soc-AM4 (B450) PCI-E Dsub+DVI+HDMI GbLAN SATA MicroATX 2DDR4 RTL;;24;;67,9
67424;;MB MSI B450M PRO-VDH MAX Soc-AM4 (B450) PCI-E Dsub+DVI+HDMI GbLAN SATA MicroATX 4DDR4 RTL;;24;;87,7
70296;;MB MSI MAG B550 TOMAHAWK Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 2xPCI-Ex1 2xUltra M.2 4xDDR4 5100MHz+ DP+HDMI ATX RTL;;24;;185,5
70947;;MB MSI MAG B550-A PRO Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 2xPCI-Ex1 2xUltra M.2 4xDDR4 4400MHz+ DP+HDMI ATX RTL;;24;;155,5
70450;;MB MSI MAG B550M BAZOOKA Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 2xPCI-Ex1 2xUltra M.2 4xDDR4 4400MHz+ DP+HDMI mATX RTL;;24;;136
70449;;MB MSI MAG B550M MORTAR Soc-AM4 (B550) 1xPCI-E 4.0x16 1xPCI-E 3.0x16 2xPCI-Ex1 2xUltra M.2 4xDDR4 4400MHz+ DP+HDMI mATX RTL;;24;;158,5
65808;;MB MSI MPG X570 GAMING PLUS Soc-AM4 (X570) 4xDDR4 ATX AC`97 8ch(7.1) GbLAN RAID;;24;;189,9
67027;;MB MSI X470 GAMING PLUS MAX Soc-AM4 (X470) 4xDDR4 ATX AC`97 8ch(7.1) GbLAN RAID;;24;;122,9
65809;;MB MSI X570-A PRO Soc-AM4 (X570) 4xDDR4 ATX AC`97 8ch(7.1) GbLAN RAID;;24;;160
;Socket TR4/TRX40;;;;;
67692;;MB ASRock TRX40 CREATOR Soc-TRX4 (AMD TRX40) 4xPCI-E GbLAN SATA ATX 8DDR4 RTL;;24;;450
70451;;MB ASUS ROG STRIX TRX40-E Soc-TRX4 (AMD TRX40) 4xPCI-E GbLAN SATA ATX 8DDR4 RTL;;24;;533
69177;;MB Gigabyte TRX40 AORUS MASTER rev.1.0 (Soc-sTRX4, AMD TRX40, 8xDDR4-3200, ATX, RTL);;24;;604,8
;Оперативная память;;;;;
;DDR III;;;;;
17369;;DDR III 2Gb PC-12800 1600MHz Kingston (KVR16N11S6/2) RTL;;24;;12,5
69628;;DDR III 4Gb PC-12800 1600MHz G.Skill Aegis (F3-1600C11S-4GIS);;24;;17,7
12943;;DDR III 4Gb PC-12800 1600MHz Kingston (KVR16LN11/4) CL11 11-11-11;;24;;19,5
7530;;DDR III 4Gb PC-12800 1600MHz Kingston (KVR16N11S8/4);;24;;19,5
65621;;DDR III 4Gb PC-12800 1600MHz Patriot (PSD34G160081);;24;;17
16230;;DDR III 4Gb PC-15000 1866MHz Kingston HyperX Fury Black (HX318C10FB/4) 10-11-10 RTL ;;24;;20,5
15116;;DDR III 8Gb KITof2 PC-15000 1866MHz Kingston HyperX Fury Black (HX318C10FBK2/8) 10-11-10 RTL;;24;;42
37707;;DDR III 8Gb PC-10600 1333MHz Patriot (PSD38G13332) CL9;;24;;31
69629;;DDR III 8Gb PC-12800 1600MHz G.Skill Aegis (F3-1600C11S-8GIS);;24;;32,1
64125;;DDR III 8Gb PC-12800 1600MHz G.Skill NT (F3-1600C11S-8GNT);;24;;32
7904;;DDR III 8Gb PC-12800 1600MHz Kingston (KVR16N11/8);;24;;35
15114;;DDR III 8Gb PC-15000 1866MHz Kingston HyperX Fury Black (HX318C10FB/8) 10-11-10 RTL ;;24;;39,5
;DDR IV;;;;;
70318;;DDR IV 16Gb KiTof2 PC-21300 2666MHz Corsair Vengeance LPX (CMK16GX4M2A2666C16W) ;;24;;70
69090;;DDR IV 16Gb KiTof2 PC-21300 2666MHz Crucial Ballistix (BL2K8G26C16U4B) ;;24;;79
70319;;DDR IV 16Gb KiTof2 PC-21300 2666MHz Crucial Ballistix (BL2K8G26C16U4W) ;;24;;75
62095;;DDR IV 16Gb KiTof2 PC-21300 2666MHz G.Skill Value (F4-2666C19D-16GNT) CL19;;24;;60
67764;;DDR IV 16Gb KiTof2 PC-21300 2666MHz Kingston HyperX Fury RGB (HX426C16FB3AK2/16) CL16;;24;;83
48425;;"DDR IV 16Gb KiTof2 PC-24000 3000MHz Corsair Vengeance LPX (CMK16GX4M2B3000C15R) CL15; 17-17-35; Intel XMP; 1.35 В; Red RTL";;24;;74
67739;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Corsair Vengeance LPX (CMK16GX4M2B3000C15W) White RTL;;24;;74
61936;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Corsair Vengeance LPX (CMK16GX4M2D3000C16) RTL;;24;;72
63250;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Corsair Vengeance LPX (CMK16GX4M2D3000C16W) RTL;;24;;72
69698;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Corsair Vengeance RGB PRO (CMW16GX4M2C3000C15-TUF)  TUF Gaming Edition;;24;;98
68374;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Crucial Ballistix  (BL2K8G30C15U4W) White;;24;;83,5
68373;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Crucial Ballistix (BL2K8G30C15U4B) Black;;24;;83,5
69091;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Crucial Ballistix RGB (BL2K8G30C15U4BL) Black;;24;;90
70224;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Crucial Ballistix RGB (BL2K8G30C15U4WL) White;;24;;90
60909;;DDR IV 16Gb KiTof2 PC-24000 3000MHz G.Skill Aegis (F4-3000C16D-16GISB) CL16 1.35V RTL;;24;;62
62112;;DDR IV 16Gb KiTof2 PC-24000 3000MHz G.Skill Ripjaws V (F4-3000C15D-16GVGB) CL15 ;;24;;67
69627;;DDR IV 16Gb KiTof2 PC-24000 3000MHz G.Skill Ripjaws V (F4-3000C15D-16GVKB) CL15 ;;24;;67
61791;;DDR IV 16Gb KiTof2 PC-24000 3000MHz G.Skill Trident Z (F4-3000C15D-16GTZB) CL15 1.35V RTL;;24;;76
58732;;DDR IV 16Gb KiTof2 PC-24000 3000MHz G.Skill Trident Z RGB (F4-3000C15D-16GTZR) CL15 1.35V RTL;;24;;92,5
62122;;DDR IV 16Gb KiTof2 PC-24000 3000MHz G.Skill Trident Z RGB (F4-3000C16D-16GTZR) CL16;;24;;84
67769;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Kingston HyperX Fury (HX430C15FB3K2/16) Black CL15 1.2V RTL ;;24;;73,5
67767;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Kingston HyperX Fury RGB (HX430C15FB3AK2/16) CL15;;24;;82,5
47046;;DDR IV 16Gb KiTof2 PC-24000 3000MHz Kingston HyperX Predator (HX430C15PB3K2/16) CL15;;24;;82,5
64861;;DDR IV 16Gb KiTof2 PC-24000 3000Mhz Kingston HyperX Predator RGB (HX430C15PB3AK2/16) CL15 ;;24;;92,5
46168;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Corsair Vengeance LPX (CMK16GX4M2B3200C16) ;;24;;83
37904;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Corsair Vengeance LPX (CMK16GX4M2B3200C16R) CL16, 1.35V RTL;;24;;78
64131;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Corsair Vengeance LPX (CMK16GX4M2B3200C16W) ;;24;;78
71036;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Crucial Ballistix (BL2K8G32C16S4B) Black;;24;;80
68375;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Crucial Ballistix (BL2K8G32C16U4B) Black;;24;;88,5
68376;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Crucial Ballistix (BL2K8G32C16U4W) White;;24;;88,5
69092;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Crucial Ballistix RGB (BL2K8G32C16U4BL) Black;;24;;93
70223;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Crucial Ballistix RGB (BL2K8G32C16U4WL) White;;24;;93
67022;;DDR IV 16Gb KiTof2 PC-25600 3200MHz G.Skill Aegis (F4-3200C16D-16GIS) CL16 1.35V RTL;;24;;64
62114;;DDR IV 16Gb KiTof2 PC-25600 3200MHz G.Skill Ripjaws V (F4-3200C16D-16GVGB) CL16 1.35V RTL;;24;;69
61154;;DDR IV 16Gb KiTof2 PC-25600 3200MHz G.Skill Ripjaws V (F4-3200C16D-16GVKB) CL16 1.35V RTL;;24;;69
62117;;DDR IV 16Gb KiTof2 PC-25600 3200MHz G.Skill Trident Z (F4-3200C16D-16GTZKW) CL16;;24;;78
62118;;DDR IV 16Gb KiTof2 PC-25600 3200MHz G.Skill Trident Z (F4-3200C16D-16GTZSW) CL16;;24;;78
62123;;DDR IV 16Gb KiTof2 PC-25600 3200MHz G.Skill Trident Z RGB (F4-3200C16D-16GTZR) CL16;;24;;93,5
67116;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Kingston HyperX Fury (HX432C16FB3K2/16) Black CL18 1.2V RTL ;;24;;77
67770;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Kingston HyperX Fury RGB (HX432C16FB3AK2/16) Black CL16;;24;;87,5
44823;;DDR IV 16Gb KiTof2 PC-25600 3200MHz Kingston HyperX Predator (HX432C16PB3K2/16) CL16 ;;24;;88
63751;;DDR IV 16Gb KiTof2 PC-25600 3200Mhz Kingston HyperX Predator RGB (HX432C16PB3AK2/16) CL16 ;;24;;99
42733;;DDR IV 16Gb KiTof2 PC-26600 3333MHz Kingston HyperX Predator (HX433C16PB3K2/16) CL16;;24;;88
62131;;DDR IV 16Gb KiTof2 PC-27200 3400MHz G.Skill Ripjaws V (F4-3400C16D-16GVK) CL16;;24;;77
68363;;DDR IV 16Gb KiTof2 PC-27700 3466MHz G.Skill Ripjaws V (F4-3466C16D-16GVK) CL16;;24;;79
67411;;DDR IV 16Gb KiTof2 PC-27700 3466MHz Kingston HyperX Fury (HX434C16FB3K2/16) CL16;;24;;96,5
70790;;DDR IV 16Gb KiTof2 PC-28800 3600MHz Corsair Vengeance LPX (CMK16GX4M2D3600C18) CL18, 1.35V RTL;;24;;83
69533;;DDR IV 16Gb KiTof2 PC-28800 3600MHz Corsair Vengeance LPX (CMK16GX4M2K3600C19) RTL;;24;;83,5
67681;;DDR IV 16Gb KiTof2 PC-28800 3600MHz G.Skill Ripjaws V (F4-3600C16D-16GVKC) CL16;;24;;81
67371;;DDR IV 16Gb KiTof2 PC-28800 3600MHz G.Skill Ripjaws V (F4-3600C18D-16GVK) CL18;;24;;70
62061;;DDR IV 16Gb KiTof2 PC-28800 3600MHz G.Skill Ripjaws V (F4-3600C19D-16GVRB) CL19 1.35V RTL;;24;;68
69768;;DDR IV 16Gb KiTof2 PC-28800 3600MHz G.Skill Trident Z RGB (F4-3600C16D-16GTZRC) CL16;;24;;120
62137;;DDR IV 16Gb KiTof2 PC-28800 3600MHz G.Skill Trident Z RGB (F4-3600C18D-16GTZRX) CL18;;24;;98,5
67995;;DDR IV 16Gb KiTof2 PC-28800 3600MHz Kingston HyperX (HX436C17FB3K2/16) CL17 ;;24;;97,5
66277;;DDR IV 16Gb KiTof2 PC-28800 3600Mhz Kingston HyperX Predator RGB (HX436C17PB4AK2/16) CL17 ;;24;;139
67996;;DDR IV 16Gb KiTof2 PC-29800 3733MHz Kingston HyperX (HX437C19FB3K2/16) CL19 ;;24;;95
67682;;DDR IV 16Gb KiTof2 PC-32000 4000MHz G.Skill Ripjaws V (F4-4000C18D-16GVK) CL18;;24;;105
69770;;DDR IV 16Gb KiTof2 PC-32000 4000MHz G.Skill Trident Z RGB (F4-4000C18D-16GTZR) CL18;;24;;160
69769;;DDR IV 16Gb KiTof2 PC-32000 4000MHz G.Skill Trident Z RGB (F4-4000C18D-16GTZRB) CL18;;24;;140
64866;;DDR IV 16Gb KiTof2 PC-32000 4000Mhz Kingston HyperX Predator RGB (HX440C19PB3AK2/16) CL19 ;;24;;170
62099;;DDR IV 16Gb PC-19200 2400MHz G.Skill Aegis (F4-2400C15S-16GIS) CL15;;24;;60,5
63251;;DDR IV 16Gb PC-19200 2400MHz G.Skill Aegis (F4-2400C17S-16GIS) CL17;;24;;59
42514;;DDR IV 16Gb PC-19200 2400MHz Kingston (KVR24N17D8/16) CL17;;24;;60
46060;;DDR IV 16Gb PC-21300 2666MHz Corsair Vengeance LPX (CMK16GX4M1A2666C16) ;;24;;68
58017;;DDR IV 16Gb PC-21300 2666MHz Crucial (CT16G4DFD8266) CL19;;24;;64
66301;;DDR IV 16Gb PC-21300 2666MHz G.Skill Aegis (F4-2666C19S-16GIS) CL19;;24;;59
60517;;DDR IV 16Gb PC-21300 2666MHz Kingston (KVR26N19D8/16) CL19, 1.2V;;24;;62
67672;;DDR IV 16Gb PC-21300 2666Mhz Kingston HyperX Fury (HX426C16FB3/16) CL16 ;;24;;66
70171;;DDR IV 16Gb PC-21300 2666Mhz Kingston HyperX Fury (HX426C16FB4/16) CL16 ;;24;;67
69452;;DDR IV 16Gb PC-21300 2666MHz Kingston HyperX Fury RGB (HX426C16FB3A/16) CL16;;24;;68,5
55317;;DDR IV 16Gb PC-21300 2666MHz Kingston HyperX Predator (HX426C13PB3/16) CL13;;24;;72,5
69447;;DDR IV 16Gb PC-23400 2933MHz Kingston (KVR29N21D8/16) CL21;;24;;66
46059;;DDR IV 16Gb PC-24000 3000MHz Corsair Vengeance LPX (CMK16GX4M1B3000C15);;24;;71,5
60904;;DDR IV 16Gb PC-24000 3000MHz Corsair Vengeance LPX (CMK16GX4M1D3000C16);;24;;69,5
65944;;DDR IV 16Gb PC-24000 3000MHz Crucial Ballistix Sport (BLS16G4D30AESB) 1.35V CL16 RTL;;24;;80
61153;;DDR IV 16Gb PC-24000 3000MHz G.Skill Aegis (F4-3000C16S-16GISB) CL16 1.35V RTL;;24;;58
70173;;DDR IV 16Gb PC-24000 3000MHz Kingston HyperX Fury (HX430C16FB4/16) Black CL16 1.2V RTL ;;24;;71
70172;;DDR IV 16Gb PC-24000 3000Mhz Kingston HyperX Fury RGB (HX430C15FB3A/16) CL15;;24;;81,5
55315;;DDR IV 16Gb PC-24000 3000MHz Kingston HyperX Predator (HX430C15PB3/16) CL15 ;;24;;73
64863;;DDR IV 16Gb PC-24000 3000Mhz Kingston HyperX Predator RGB (HX430C15PB3A/16) CL15;;24;;82
66883;;DDR IV 16Gb PC-25600 3200MHz Crucial (CT16G4DFD832A) CL22;;24;;68
67021;;DDR IV 16Gb PC-25600 3200MHz G.Skill Aegis (F4-3200C16S-16GIS) CL16 1.35V RTL;;24;;61
68362;;DDR IV 16Gb PC-25600 3200MHz G.Skill Ripjaws V (F4-3200C16S-16GVK) CL16;;24;;67,5
69448;;DDR IV 16Gb PC-25600 3200MHz Kingston  (KVR32N22D8/16) RTL ;;24;;65
67221;;DDR IV 16Gb PC-25600 3200Mhz Kingston HyperX Fury (HX432C16FB3/16) CL16;;24;;70,5
70175;;DDR IV 16Gb PC-25600 3200Mhz Kingston HyperX Fury (HX432C16FB4/16) CL16;;24;;72
63542;;DDR IV 16Gb PC-25600 3200MHz Kingston HyperX Predator (HX432C16PB3/16) CL16 ;;24;;80
64864;;DDR IV 16Gb PC-25600 3200Mhz Kingston HyperX Predator RGB (HX432C16PB3A/16) CL16;;24;;83
64862;;DDR IV 16Gb PC-26600 3333Mhz Kingston HyperX Predator (HX433C16PB3/16) CL16 ;;24;;73
46161;;DDR IV 32Gb KiTof2 PC-21300 2666MHz Corsair Vengeance LPX (CMK32GX4M2A2666C16) ;;24;;135
65326;;DDR IV 32Gb KiTof2 PC-21300 2666MHz Corsair Vengeance LPX (CMK32GX4M2A2666C16W) ;;24;;135
70048;;DDR IV 32Gb KiTof2 PC-21300 2666MHz Crucial Ballistix (BL2K16G26C16U4B) ;;24;;124,5
67684;;DDR IV 32Gb KiTof2 PC-21300 2666MHz Kingston HyperX Fury (HX426C16FB3K2/32) Black CL16 1.2V RTL ;;24;;129
